source_apartment_id,recommended_apartment_id,rank,similarity_score
120,95,2,0.5666381067218249
121,346,1,0.44645340675387507
121,457,2,0.4403869297070087
121,25,3,0.4396027833440373
121,352,4,0.4396027833440373
121,353,5,0.4274709433834411
122,123,1,1.0
122,510,2,0.932860155710351
122,511,3,0.932860155710351
122,276,4,0.9312482185075027
122,124,5,0.924535426690052
123,122,1,1.0
123,510,2,0.932860155710351
123,511,3,0.932860155710351
123,276,4,0.9312482185075027
123,124,5,0.924535426690052
124,122,1,0.924535426690052
124,123,2,0.924535426690052
124,34,3,0.9091345999047663
124,510,4,0.8656299765129736
124,511,5,0.8656299765129736
125,360,1,0.7328757921951519
125,186,2,0.7039915093819469
125,530,3,0.6820796383115029
125,131,4,0.6647006435268963
125,132,5,0.6647006435268963
126,48,1,0.9066221947262216
126,49,2,0.9062017328178386
126,500,3,0.9012545885842692
126,387,4,0.8834251849901238
126,322,5,0.8656159288147351
127,128,1,0.9470448619976093
127,57,2,0.9268957209232569
127,58,3,0.9268957209232569
127,160,4,0.8833288658578551
127,338,5,0.868747730298121
128,58,1,0.9720367824579342
128,127,2,0.9470448619976093
128,160,3,0.9466439709056721
128,57,4,0.9208967272502849
128,190,5,0.8932197824710967
129,135,1,0.9653716229385298
129,253,2,0.9296933882307654
129,353,3,0.884414367000029
129,359,4,0.8733888582342846
129,348,5,0.8677418291765805
130,164,1,0.6991255807440665
130,29,2,0.6962904514470429
130,546,3,0.695006187242853
130,535,4,0.673888376054894
130,608,5,0.5953597288525702
131,132,1,1.0
131,530,2,0.7687926727919822
131,224,3,0.7562872520282825
131,438,4,0.7343700686337821
131,360,5,0.7011986327445313
132,131,1,1.0
132,530,2,0.7687926727919822
132,224,3,0.7562872520282825
132,438,4,0.7343700686337821
132,360,5,0.7011986327445313
133,193,1,0.9028526418708591
133,330,2,0.8813127765039779
133,573,3,0.8453647445248889
133,232,4,0.8452149066188644
133,533,5,0.844369300409352
134,154,1,0.8719711828231966
134,135,2,0.8151386232573027
134,129,3,0.7926644901305028
134,457,4,0.7847201758737772
134,353,5,0.783238646209733
135,129,1,0.9653716229385298
135,253,2,0.9577541003319685
135,359,3,0.8986956580884463
135,348,4,0.8442591153550439
135,638,5,0.8307282321774477
136,667,1,0.8838193465721477
136,418,2,0.8305499057263629
136,403,3,0.8167222612843659
136,140,4,0.8022104196155306
136,419,5,0.8003478772001914
137,339,1,0.8572968372114892
137,144,2,0.8548463157400283
137,266,3,0.8369190184909379
137,279,4,0.8312147689290166
137,195,5,0.8288294366156468
138,616,1,0.936887748547465
138,220,2,0.9122365054463687
138,343,3,0.8750054576519084
138,344,4,0.832333784677836
138,265,5,0.7891980229982488
